ID,Lobby ID,Nom1,Nom2,Pays/Région,Type,Secteurs d’activité,Dépenses Lobby (€),Personnes impliquées,Equivalent Temps plein,Emission <40 %,Efficacité énergétique,"Gaz de schiste, charbon, etc.",Energies renouvelables
1,74535104992-35,Green Budget Europe,,Europe,ONG,Intérêts public environnementaux,223889,2,1.0,POUR,POUR,,POUR
2,1651695283-80,INFORSE-Europe,,Europe,ONG,Intérêts public environnementaux,17499,2,1.0,,,,POUR
3,85103504511-82,ActionAid,,International,ONG,Autres industries / intérêts,226887,3,2.25,,,,POUR
4,1414929419-24,WWF,World Wildlife Fund,International,ONG,Intérêts public environnementaux,2124999,33,21.75,,,,
5,75365248559-90,Nature Code,,Autriche,ONG,Intérêts public environnementaux,649999,7,4.0,,,,
6,1083162721-43,BirdLife Europe,,Europe,ONG,Intérêts public environnementaux,1374999,18,18.0,,,,
7,,Institution of Civil Engineers,,Royaume-Uni,Association professionnelle,Autres industries / intérêts,NaN,NaN,NaN,,,,
8,256351811481-67,Px1NME,Plataforma por un Nuevo Modelo Energético,Espagne,ONG,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
9,94944179052-82,Sandbag,,Royaume-Uni,ONG,"Recherche scientifique, expertise",249999,8,6.5,POUR,,,
10,505588923656-96,ECEEE,the European Council for an Energy Efficient Economy,Europe,ONG,Énergie,17499,1,0.75,,,,
11,3960234639-24,QCEA,Quaker Council for European Affairs,Belgique,ONG,Autres industries / intérêts,149999,4,2.5,POUR,POUR,CONTRE,POUR
12,58744833263-19,Transport and Environment,European Federation for Transport and Environment,Europe,ONG,"Construction, immobilier, transports",3624500,27,19.25,POUR,,CONTRE,
13,,Hespul,,France,Think tank et recherche,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
14,0285583802-96,NABU,Nature and Biodiversity Conservation Union,Allemagne,ONG,Intérêts public environnementaux,349999,31,13.5,POUR,POUR,,POUR
15,83237681344-24,BUND,Bund für Umwelt und Naturschutz Deutschland,Allemagne,ONG,Intérêts public environnementaux,4999,2,1.75,,,,
16,,ALIenergy,,Europe,ONG,Intérêts public environnementaux,NaN,NaN,NaN,,,,
17,96645517357-19,ClientEarth,,Royaume-Uni,ONG,"Recherche scientifique, expertise",549999,38,11.75,,,,
18,,FEASTA,The Foundation for the Economics of Sustainability,Irlande,ONG,Intérêts public environnementaux,NaN,NaN,NaN,,,,
19,027333110679-45,Change Partnership,,Belgique,ONG,Intérêts public environnementaux,98000,3,2.5,,,,
20,88183887439-50,Centre for Transport and Energy,,République Tchèque,ONG,"Construction, immobilier, transports",4999,1,0.25,,POUR,CONTRE,
21,,The Polish Climate Coalition,,Pologne,ONG,Intérêts public environnementaux,NaN,NaN,NaN,,,,
22,927189614844-23,NOAH,Friends of the Earth Denmark,Danemark,ONG,Intérêts public environnementaux,74999,6,3.0,POUR,,CONTRE,
23,42119616334-41,Food & Water Europe,,Europe,ONG,Intérêts public environnementaux,74999,3,2.5,,,,
25,035225320599-22,APERe,,Belgique,ONG,Intérêts public environnementaux,37499,1,0.5,,,,
26,481513911429-60,Klima-Bündnis Lëtzebuerg,,Luxembourg,ONG,Intérêts public environnementaux,249999,4,4.0,,POUR,CONTRE,POUR
27,55888811123-49,CAN-Europe,Climate Action Network Europe,Europe,ONG,Intérêts public environnementaux,849999,19,15.75,,,,
28,06798511314-27,EEB,European Environmental Bureau,Europe,ONG,Intérêts public environnementaux,3374999,22,19.75,,,,
29,9832909575-41,Greenpeace,Greenpeace,International,ONG,Intérêts public environnementaux,594233,10,5.0,POUR,POUR,CONTRE,POUR
30,55481528937-66,Church & Society Commission,,Europe,Communauté religieuse,Autres industries / intérêts,149999,7,1.75,POUR,,,POUR
31,,EFN,SEREN Environmentalists for Nuclear Energy,International,ONG,Énergie,NaN,NaN,NaN,,,,
32,174549611338-89,Alchemia-Nova,,Allemagne,Think tank et recherche,"Recherche scientifique, expertise",4999,3,1.0,CONTRE,,,POUR
33,075624711129-13,REO,Ren Energioplysning,Danemark,ONG,Énergie,4999,3,0.75,,,CONTRE,CONTRE
34,318640620183-35,IEW,Inter-Environnement Wallonie,Belgique,ONG,Intérêts public environnementaux,17499,2,0.5,,,,
